plaintext,type,index,vaultId,voltageToken,bluefinToken,bluefinId
7021309838749799,CREDIT_CARD_NUMBER,1,C8A1E784595F8125E6F09B3C961A8CA7,7021308219769799,7021301193679799,djI6MTIwMjIwNTIzMDgwMjAxMTAyMjM2NTE2OXxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
2805806217119347,CREDIT_CARD_NUMBER,1,B206B13A8F06415FDDB1A2DF39E7EFBB,2805804519049347,2805807667949347,djI6MTIwMjIwNTIzMDgwMjAyMTAxMzc0NDg2NnxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
6914349752799495,CREDIT_CARD_NUMBER,1,6FF1858B226FA53D567B448DF8FA3F09,6914349471399495,6914340845739495,djI6MTIwMjIwNTIzMDgwMjA0MTAxMzU0MTM2NHxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
1122860266967396,CREDIT_CARD_NUMBER,1,B5F8809DF2A4FFDC460852355A706135,1122864389427396,1122861795627396,djI6MTIwMjIwNTIzMDgwMjA2MTAxMzI3MTEzMHxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
8953765266945170,CREDIT_CARD_NUMBER,1,F83ADF47A9B78C597BE79E8DACA300A2,8953765581695170,8953761009095170,djI6MTIwMjIwNTIzMDgwMjA3MTAxMjE0NTQwNHxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
4280512899580562,CREDIT_CARD_NUMBER,1,47F29946367D79DEFFAABCAD2F47086D,4280510477460562,4280514264240562,djI6MTIwMjIwNTIzMDgwMjA5MTAxMjA1MTE3MXxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
7542101384842193,CREDIT_CARD_NUMBER,1,ACC7A45CA81956AE40FFBF65F8721A0D,7542107748832193,7542102300392193,djI6MTIwMjIwNTIzMDgwMjEwMTAxMjQ4Njc0NHxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
8606866096411601,CREDIT_CARD_NUMBER,1,B2829F059F9757C4DA8F63FAC3C94945,8606868246961601,8606862417351601,djI6MTIwMjIwNTIzMDgwMjEyMTAzMjQyNDYzMXxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
0518795055442627,CREDIT_CARD_NUMBER,1,89EC732275C47029183CD17B44EE923C,0518798710872627,0518799036942627,djI6MTIwMjIwNTIzMDgwMjEzMTAzMjE2MjU0MnxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
3199859970573725,CREDIT_CARD_NUMBER,1,8D386609C55383EB2B8D6D57B17841C0,3199859755673725,3199857313793725,djI6MTIwMjIwNTIzMDgwMjE1MTAzMjMwODY1M3xiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
3225294823731184,CREDIT_CARD_NUMBER,1,108AEE4D560B08E76FF453089847AE1C,3225297135881184,3225299882791184,djI6MTIwMjIwNTIzMDgwMjE2MTAzMTkwMzk0MXxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
1960425224227207,CREDIT_CARD_NUMBER,1,3DBE25EB9A91604209DF341C473BA56E,1960422617747207,1960425832167207,djI6MTIwMjIwNTIzMDgwMTI5MTAxMTc5OTQzNnxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
7546427721826747,CREDIT_CARD_NUMBER,1,7D8815519E64FC5EFF1C59FC2FFD092B,7546420732776747,7546428631596747,djI6MTIwMjIwNTIzMDgwMjIwMTAzMTU1MzUwN3xiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
9571178117656785,CREDIT_CARD_NUMBER,1,57D6172F31D32FABC50F4A187A427278,9571179052466785,9571179286996785,djI6MTIwMjIwNTIzMDgwMjIyMTAyMzQzMDQxNXxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
3969498393590041,CREDIT_CARD_NUMBER,1,70DB44B46ED715F076E40B07D1E28CDB,3969491529370041,3969499503620041,djI6MTIwMjIwNTIzMDgwMjIzMTAyMzAzMjM5MnxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
8966223249024854,CREDIT_CARD_NUMBER,1,92A090E89CFF4EF23FD7A300A7331A79,8966222186834854,8966224160254854,djI6MTIwMjIwNTIzMDgwMjI1MTAxMTg2OTA0MXxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
5538577518650861,CREDIT_CARD_NUMBER,1,880B0F00CDEE08AC42E65EC3B71C61A9,5538572730440861,5538571986840861,djI6MTIwMjIwNTIzMDgwMjI2MTAxMjA2Mzg5NnxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
5919570541741696,CREDIT_CARD_NUMBER,1,0439FD38B51889DD2046057172762C3B,5919573667691696,5919579467431696,djI6MTIwMjIwNTIzMDgwMjI4MTAxMjgwNDY3MnxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
6930419207418222,CREDIT_CARD_NUMBER,1,874164BBFF4BCAC19DCA343A15B06340,6930417438058222,6930413023368222,djI6MTIwMjIwNTIzMDgwMjMwMTAxMjkwOTExMnxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
6053714402602432,CREDIT_CARD_NUMBER,1,91A99E4D9D3A5F92578F64240688768B,6053714812732432,6053715853032432,djI6MTIwMjIwNTIzMDgwMjMxMTAyMjQwMzIyOXxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
