plaintext,type,index,vaultId,returnType
9645917359623281,GIFT_CARD_NUMBER,1,A0461585FAC0F811F574D072FEED15F5,GIFT_CARD_NUMBER
9050752767034698,GIFT_CARD_NUMBER,1,4FD51CDEC71A2179ADB0D89457DB29F5,GIFT_CARD_NUMBER
9939977464428346,GIFT_CARD_NUMBER,1,D4D36E86E0EF5ED5E29AC6F6F81CDD5E,GIFT_CARD_NUMBER
0875589328148212,GIFT_CARD_NUMBER,1,411C86389F235EE01573869D6165BB3D,GIFT_CARD_NUMBER
4668134552514674,GIFT_CARD_NUMBER,1,7272637FC4EDF94C8C9F3AC17BAB797D,GIFT_CARD_NUMBER
1750653877577166,GIFT_CARD_NUMBER,1,9E89368AFC73CC6F819B6E92C05AECB3,GIFT_CARD_NUMBER
7102657343022494,GIFT_CARD_NUMBER,1,37CAED6335BD2329A22BA1E7E94476E3,GIFT_CARD_NUMBER
7352833438241990,GIFT_CARD_NUMBER,1,7B60A4CD1374B69FE19849E10DDCE604,GIFT_CARD_NUMBER
3360055656914855,GIFT_CARD_NUMBER,1,91BBAF930E919EA5AAB7206512C2611D,GIFT_CARD_NUMBER
7146708969881219,GIFT_CARD_NUMBER,1,A0C4029D7F1706D3E383378934C68E85,GIFT_CARD_NUMBER
7659055049316036,GIFT_CARD_NUMBER,1,ECAAE37115D2261AA653CED39CAA32ED,GIFT_CARD_NUMBER
9696679107368286,GIFT_CARD_NUMBER,1,C1DC7A1699F979BB49D61A97CDBA035C,GIFT_CARD_NUMBER
8374883127707832,GIFT_CARD_NUMBER,1,6611971136E461D2A3CC79B2A5AA2B55,GIFT_CARD_NUMBER
8208122720638175,GIFT_CARD_NUMBER,1,F5D616A8E417892810904550615467CA,GIFT_CARD_NUMBER
8196218565828249,GIFT_CARD_NUMBER,1,1643686CFF6B823BFE446FC6C9405AC3,GIFT_CARD_NUMBER
5670889561560611,GIFT_CARD_NUMBER,1,92F81CBCCBE16F5B013756BC90478E5F,GIFT_CARD_NUMBER
5748506478547941,GIFT_CARD_NUMBER,1,078873438067B35EFAAEA448D50A85D8,GIFT_CARD_NUMBER
7768177894321973,GIFT_CARD_NUMBER,1,C80B6856CB0F2DA29B9EF232DC223388,GIFT_CARD_NUMBER
3888333065455213,GIFT_CARD_NUMBER,1,688DC677037B837BDFE549FD0B06678A,GIFT_CARD_NUMBER
2636347575983357,GIFT_CARD_NUMBER,1,3A0D91B7FF8CF69B025EC4103B5C3793,GIFT_CARD_NUMBER
9151590741540210,GIFT_CARD_NUMBER,1,F81A9DDDDB7B67355AFC1EA311B4EEAF,GIFT_CARD_NUMBER
7419472334869448,GIFT_CARD_NUMBER,1,25AFB442B93F16F7C98C22A71A21F8BB,GIFT_CARD_NUMBER
0488458976462907,GIFT_CARD_NUMBER,1,5C09781C55A86A3CA41446E75FA3EAE8,GIFT_CARD_NUMBER
4350532783559529,GIFT_CARD_NUMBER,1,1C47DABC92A8A811F56C53D04EE4A826,GIFT_CARD_NUMBER
3153723561957043,GIFT_CARD_NUMBER,1,C738BC164C39EB114B8552779E778B1D,GIFT_CARD_NUMBER
3477892837370170,GIFT_CARD_NUMBER,1,2E96100037BE9DF9886E544B387C61D9,GIFT_CARD_NUMBER
0080822562280524,GIFT_CARD_NUMBER,1,B9623A1EA995B0DE95E62AB55B75E0E6,GIFT_CARD_NUMBER
3416285368413099,GIFT_CARD_NUMBER,1,FC516F4EB16A373CB703A7DEB0DAE8E0,GIFT_CARD_NUMBER
1873763385919202,GIFT_CARD_NUMBER,1,1F2DA0F034C30157D3DE486D20B80E3F,GIFT_CARD_NUMBER
5505804676556830,GIFT_CARD_NUMBER,1,3289ACE0BE130BE5256BE80B3866B83D,GIFT_CARD_NUMBER
6948588149579102,GIFT_CARD_NUMBER,1,CCDFD1922639F5E4F0221F741A2D686D,GIFT_CARD_NUMBER
6983473392256823,GIFT_CARD_NUMBER,1,7FD50E09EE4505EA88DA0DC9B3C7F65D,GIFT_CARD_NUMBER
2470592572815095,GIFT_CARD_NUMBER,1,2B2E046E8C7E5854AA38FCA8A8A7DDFC,GIFT_CARD_NUMBER
2473335509379824,GIFT_CARD_NUMBER,1,EABAC25F2C1D04F6B3C98DD39C3D5A1E,GIFT_CARD_NUMBER
7591491454507684,GIFT_CARD_NUMBER,1,EFE28EB6B9E746A6F099993E9B8C03A9,GIFT_CARD_NUMBER
0777656984145065,GIFT_CARD_NUMBER,1,1EEBD4A8F60AD8E2E79EF1FA45E40995,GIFT_CARD_NUMBER
0929257068491346,GIFT_CARD_NUMBER,1,71D2E1A888C585B6137FF36CA2C1347E,GIFT_CARD_NUMBER
8486914027460264,GIFT_CARD_NUMBER,1,29EC7BBC37D5161BA2137D3326E58399,GIFT_CARD_NUMBER
3886969940878807,GIFT_CARD_NUMBER,1,8FC1F800441657680227108023E980C9,GIFT_CARD_NUMBER
2444188057420727,GIFT_CARD_NUMBER,1,5FFA68EE7505E0260251BBEF08AF0B61,GIFT_CARD_NUMBER
3628954858785385,GIFT_CARD_NUMBER,1,CC90ADA3548FFD57E4157F04F82C0449,GIFT_CARD_NUMBER
4400665972904969,GIFT_CARD_NUMBER,1,4276DC6F3E3D5CDB2AC379CDF619320E,GIFT_CARD_NUMBER
5661900697413022,GIFT_CARD_NUMBER,1,E9EAA8F6A87E947BFCEDC231C78BFBC0,GIFT_CARD_NUMBER
9166020051088597,GIFT_CARD_NUMBER,1,EAE1D92BB1FFB6616620B09838948CB3,GIFT_CARD_NUMBER
0978320810339364,GIFT_CARD_NUMBER,1,0F28BABE01D68758E4A0EF35C195356D,GIFT_CARD_NUMBER
