plaintext,type,index,vaultId,voltageToken,bluefinToken,bluefinId
5457476187989287,CREDIT_CARD_NUMBER,1,37F0DEF43FF93874438EC47DAF077BE7,5457472924139287,5457477094669287,djI6MTIwMjIwNTAyMDUwNjU3MTAzMTc4OTYwMXxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
9947256642346577,CREDIT_CARD_NUMBER,1,75906E1D054D3B0BEBE38A16698498A2,9947256723296577,9947255715346577,djI6MTIwMjIwNTAyMDUwNzA4MTAzMzU1NDQ5M3xiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
4766084626227334,CREDIT_CARD_NUMBER,1,2B050FA65CE27DA8A0924E5A1E6F385D,4766086140337334,4766089199937334,djI6MTIwMjIwNTAyMDUxNTA5MTAxMjcyMDExMHxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
2784815637619409,CREDIT_CARD_NUMBER,1,D421DA6AF94D0EC93BA398A9AE4E0336,2784811210339409,2784816568949409,djI6MTIwMjIwNTAyMDUxNTEwMTAyMjQ0NzY1NXxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
8640281045879878,CREDIT_CARD_NUMBER,1,1BE55B029976A842286BAB6B489CC708,8640281388759878,8640281958769878,djI6MTIwMjIwNTAyMDUxNTEyMTAyMjk0ODMyNXxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
3795018879789018,CREDIT_CARD_NUMBER,1,2CB4179FE8F014EB9D2CC2D607226C84,3795017391969018,3795010361649018,djI6MTIwMjIwNTAyMDUxNTE0MTAyMjI4Mzc0MnxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
9556854923194149,CREDIT_CARD_NUMBER,1,91DE044120DF280EE8EC37FDD3B6F075,9556850572204149,9556855875154149,djI6MTIwMjIwNTAyMDUxNTE1MTAyMzMxNzczNnxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
7574075963903031,CREDIT_CARD_NUMBER,1,18AB17CC880F66409D33679CD781D3FE,7574075123153031,7574079933793031,djI6MTIwMjIwNTAyMDUxNTE3MTAyMzcxNDgxOHxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
1228999331816725,CREDIT_CARD_NUMBER,1,51A71134EB4D4F560B0AFCB1BA141728,1228993668396725,1228990242686725,djI6MTIwMjIwNDA0MDY1NjI0MTAyMTM1NTc0OHxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
4541545239830225,CREDIT_CARD_NUMBER,1,B25186E2743690374C95678506F1BCE6,4541544723640225,4541548288490225,djI6MTIwMjIwNTAyMDUxNTIwMTAxMjE3MjQzN3xiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
2245416410672137,CREDIT_CARD_NUMBER,1,F95390AEDB7CCBDEA8E396134D8CA683,2245416603652137,2245414339282137,djI6MTIwMjIwNTAyMDUxNTIyMTAyMjE1NzUwNnxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
2624801891349132,CREDIT_CARD_NUMBER,1,97F0258BCCEFB50D53512F67D0228907,2624806296689132,2624801366649132,djI6MTIwMjIwNTAyMDUxNTIzMTAxMjQ0NjAwNHxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
8484330240611995,CREDIT_CARD_NUMBER,1,B10028C054FFF6F9604C5599BAA16FF0,8484339838611995,8484331151121995,djI6MTIwMjIwNTAyMDUxNTI1MTAyMjc0MTc5NXxiYzVkMDU3YjUwMzkyMDA3N2JkZjBiZmE3ODVhYWU2Znx8fA==
